"Sistema Controllo Accessi Fisici (Badge)","Alta","Controller Varchi Biometrici","Controllo Accessi","Riccardo Mariani","riccardo.mariani@electrocore.it","SecureAccess Control"
"Sistema di Monitoraggio SOC/Cybersecurity","Alta","Firewall FortiGate 200F","Network Appliance","Alessandro Conti","alessandro.conti@electrocore.it","SecureNet Solutions"
"Sistema di Monitoraggio SOC/Cybersecurity","Alta","Core Switch Cisco Nexus","Network Appliance","Alessandro Conti","alessandro.conti@electrocore.it","Network Infrastructure Co."
"Sistema di Monitoraggio SOC/Cybersecurity","Alta","Server Proxy/Web Filter","VM","Alessandro Conti","alessandro.conti@electrocore.it","CyberGuard IT"
"Sistema di Monitoraggio SOC/Cybersecurity","Alta","Router Fibra Aziendale","Network Appliance","Alessandro Conti","alessandro.conti@electrocore.it","Network Infrastructure Co."
"Gestione Magazzino Automatizzato","Alta","Terminale Logistica Zebra 01","Palmare","Giovanni Parisi","giovanni.parisi@electrocore.it","EuroLogistics SpA"
"Gestione Magazzino Automatizzato","Alta","Terminale Logistica Zebra 02","Palmare","Giovanni Parisi","giovanni.parisi@electrocore.it","EuroLogistics SpA"
"Gestione Magazzino Automatizzato","Alta","Plotter Etichettatura Industriale","Stampante","Giovanni Parisi","giovanni.parisi@electrocore.it","FastDelivery Express"
"Infrastruttura Server SAP/ERP","Alta","Server Cluster Proxmox 01","Server Fisico","Diana Gallo","diana.gallo@electrocore.it","CloudData Enterprise"
"Infrastruttura Server SAP/ERP","Alta","Storage NAS TrueNAS Enterprise","Storage","Diana Gallo","diana.gallo@electrocore.it","Backup Cloud Services"
"Infrastruttura Server SAP/ERP","Alta","UPS Schneider Electric 10kVA","Power","Diana Gallo","diana.gallo@electrocore.it","PowerGrid Italia"
"Infrastruttura Server SAP/ERP","Alta","Server Gestionale ERP (Virtuale)","VM","Diana Gallo","diana.gallo@electrocore.it","ErpSoft Dynamics"
"Infrastruttura Server SAP/ERP","Alta","Server Database SQL","VM","Diana Gallo","diana.gallo@electrocore.it","ErpSoft Dynamics"
"Sistema Controllo Qualità Ottica (AOI)","Alta","Ispezione Ottica AOI Omron","Sistema Ispezione","Silvia Rinaldi","silvia.rinaldi@electrocore.it","QualityTest Labs"
"Sistema Controllo Qualità Ottica (AOI)","Alta","Sistema Raggi X per PCB","Sistema Ispezione","Silvia Rinaldi","silvia.rinaldi@electrocore.it","QualityTest Labs"
"Sistema Controllo Qualità Ottica (AOI)","Alta","Microscopio Elettronico","Strumento Misura","Silvia Rinaldi","silvia.rinaldi@electrocore.it","Optical Sensors Inc."
"Portale Web Fornitori","Media",\N,\N,"Fabio Rossi","fabio.rossi@electrocore.it","Manutenzione Interna"
"Sistema di Videosorveglianza IP","Media",\N,\N,"Alessandro Conti","alessandro.conti@electrocore.it","Manutenzione Interna"
"Gestione Logistica Spedizioni","Media",\N,\N,"Francesca Giordano","francesca.giordano@electrocore.it","Manutenzione Interna"
"Manutenzione Predittiva IoT","Media",\N,\N,"Andrea Martini","andrea.martini@electrocore.it","Manutenzione Interna"
"Infrastruttura Wi-Fi Industriale","Media",\N,\N,"Lorenzo Moretti","lorenzo.moretti@electrocore.it","Manutenzione Interna"
"Sviluppo e Compilazione Firmware","Media",\N,\N,"Paola Santoro","paola.santoro@electrocore.it","Manutenzione Interna"
"Progettazione Circuitale CAD","Media","Core Switch Cisco Nexus","Network Appliance","Serena Esposito","serena.esposito@electrocore.it","Network Infrastructure Co."
"Progettazione Circuitale CAD","Media","Workstation CAD 01 - Lead Designer","Workstation","Serena Esposito","serena.esposito@electrocore.it","NextGen CAD"
"Progettazione Circuitale CAD","Media","Workstation CAD 02","Workstation","Serena Esposito","serena.esposito@electrocore.it","NextGen CAD"
"Progettazione Circuitale CAD","Media","Licenza Altium Designer Multi-user","Software","Serena Esposito","serena.esposito@electrocore.it","NextGen CAD"
"Servizio Posta Elettronica Aziendale","Media",\N,\N,"Gabriele Rizzo","gabriele.rizzo@electrocore.it","Manutenzione Interna"
"Controllo Numerico CNC (Meccanica)","Media",\N,\N,"Marco Longo","marco.longo@electrocore.it","Manutenzione Interna"
"Piattaforma E-commerce B2B","Media",\N,\N,"Alice Bianchi","alice.bianchi@electrocore.it","Manutenzione Interna"
"Sistema Paghe e Amministrazione","Bassa",\N,\N,"Simone De Angelis","simone.deangelis@electrocore.it","Manutenzione Interna"
"Servizio Telefonia VoIP e Centralino","Bassa",\N,\N,"Letizia Russo","letizia.russo@electrocore.it","Manutenzione Interna"
"Laboratorio Ricerca e Sviluppo (R&D)","Bassa",\N,\N,"Nicola Fontana","nicola.fontana@electrocore.it","Manutenzione Interna"
"Gestione Documentale Normative ISO","Bassa",\N,\N,"Veronica Colombo","veronica.colombo@electrocore.it","Manutenzione Interna"
